data_point_id,source_paper,source_doi,feedstock_type,feedstock_category,feedstock_cellulose_pct,feedstock_hemicellulose_pct,feedstock_lignin_pct,feedstock_moisture_pct,feedstock_ash_pct,pyrolysis_temp_C,heating_rate_C_min,residence_time_h,pyrolysis_atmosphere,BET_surface_area_m2g,total_pore_volume_cm3g,micropore_volume_cm3g,mesopore_volume_cm3g,avg_pore_diameter_nm,C_pct,H_pct,N_pct,O_pct,H_C_molar_ratio,O_C_molar_ratio,pH,modification_type,Fe_loading_pct,modification_concentration_M,Qmax_Pb2_mg_g,Qmax_Cd2_mg_g,Qmax_Cr6_mg_g,Qmax_As3_mg_g,CO2_capacity_mmol_g,solution_pH,adsorbent_dosage_g_L,initial_metal_conc_mg_L,contact_time_h,temperature_C
DP-0014,Shen_2024,10.1016/j.jhazmat.2024.133442,Corn stover,Agricultural,39.9,29.8,33.9,5.1,0.5,600,5,1.0,N2,349.5,0.2075,0.1112,0.0963,2.4,53.0,4.0,2.31,40.2,0.906,0.569,9.5,None,0.0,0.0,165.8,120.4,36.2,77.5,2.8,6.0,2.0,200,48,30
DP-0015,Long_2024,10.1016/j.chemosphere.2024.141584,Rice husk,Agricultural,46.4,16.5,15.7,5.1,15.2,700,30,0.5,N2,392.4,0.237,0.0794,0.1576,2.4,62.1,1.6,4.11,17.0,0.309,0.205,9.1,Fe-loading,7.1,0.0,115.2,132.6,20.8,66.4,2.95,4.0,5.0,50,12,40
DP-0016,Sun_2022,10.1016/j.scitotenv.2022.154668,Banana peel,Agricultural,37.3,22.0,24.7,4.7,9.7,650,15,1.5,N2,392.9,0.2432,0.166,0.0772,2.5,63.9,3.0,1.39,22.0,0.563,0.258,9.0,None,0.0,0.0,119.1,68.7,40.3,73.1,4.0,5.5,1.0,100,6,35
DP-0017,Palansooriya_2022,10.1021/acs.est.1c08302,Poultry litter,Waste,58.6,36.3,19.8,10.9,11.2,600,5,1.0,N2,435.5,0.2995,0.1336,0.1659,2.8,51.4,4.0,1.23,32.2,0.934,0.47,9.3,None,0.0,0.0,96.0,137.3,29.7,56.1,2.89,6.0,10.0,50,4,30
DP-0018,Yuan_2021,10.1021/acs.est.1c01849,Coconut shell,Woody,61.4,16.3,36.5,5.6,10.8,500,20,2.0,Ar,339.3,0.1787,0.0709,0.1078,2.1,60.5,3.0,0.54,25.2,0.595,0.312,8.5,None,0.0,0.0,102.1,104.0,29.3,57.8,1.68,5.5,0.5,50,12,30
DP-0019,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Corn stover,Agricultural,44.1,29.3,17.2,6.3,6.6,550,5,1.5,N2,221.7,0.1781,0.0901,0.088,3.2,61.6,2.9,1.43,27.5,0.565,0.335,10.0,Fe-loading,6.0,0.0,101.6,111.0,32.4,104.5,2.39,7.0,2.0,10,6,30
DP-0020,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Peanut shell,Agricultural,17.9,31.5,28.4,7.1,0.9,500,5,4.0,N2,336.4,0.1997,0.0592,0.1405,2.4,49.9,4.6,1.49,43.1,1.106,0.648,9.9,None,0.0,0.0,159.1,139.6,68.3,107.4,2.06,5.0,10.0,100,4,30
DP-0021,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sawdust,Woody,44.4,12.4,21.4,4.4,4.7,450,3,0.5,Ar,278.8,0.2196,0.0497,0.1699,3.2,51.8,5.2,2.32,36.0,1.205,0.521,7.6,Acid-treatment,0.0,1.87,176.6,117.2,35.7,76.7,2.04,6.0,5.0,20,24,25
DP-0022,Yuan_2021,10.1021/acs.est.1c01849,Wheat straw,Agricultural,43.4,31.2,5.0,9.1,6.6,650,10,1.5,N2,444.6,0.3038,0.1523,0.1515,2.7,59.2,3.2,1.16,29.8,0.649,0.378,10.1,None,0.0,0.0,92.9,97.4,45.7,77.3,3.41,5.5,1.0,100,12,30
DP-0023,Ma_2023,10.1016/j.seppur.2022.122521,Peanut shell,Agricultural,47.7,29.0,18.8,6.7,7.7,600,3,2.0,N2,459.1,0.3473,0.174,0.1733,3.0,56.4,2.5,8.5,24.9,0.532,0.331,10.2,Base-treatment,0.0,1.17,114.1,112.5,55.3,55.1,4.75,6.0,1.0,100,48,25
DP-0024,Palansooriya_2022,10.1021/acs.est.1c08302,Sawdust,Woody,39.1,29.1,26.3,8.7,4.0,550,10,1.5,N2,360.4,0.2005,0.1489,0.0516,2.2,59.0,5.7,1.95,29.3,1.159,0.372,8.3,MnO2,0.0,0.11,120.4,87.3,24.9,79.3,3.03,5.5,2.0,100,6,25
DP-0025,Yuan_2021,10.1021/acs.est.1c01849,Corn stover,Agricultural,26.1,25.9,15.5,10.7,4.6,500,30,1.5,N2,273.9,0.1902,0.0391,0.1511,2.8,64.3,3.2,0.62,27.3,0.597,0.318,7.4,None,0.0,0.0,76.1,85.5,11.3,45.1,2.5,7.0,2.0,50,12,30
DP-0026,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Bamboo,Woody,50.5,9.5,18.9,6.9,1.0,550,10,0.5,N2,297.9,0.227,0.0598,0.1672,3.0,67.4,3.1,0.81,27.7,0.552,0.308,8.9,N-doping,0.0,0.55,115.5,94.8,31.1,75.5,2.28,7.0,2.0,100,4,25
DP-0027,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,21.3,36.4,10.8,5.6,14.6,450,10,1.5,N2,188.8,0.0918,0.0399,0.0519,1.9,52.0,3.9,1.78,27.7,0.9,0.4,8.2,None,0.0,0.0,127.9,85.2,43.7,87.1,2.15,5.0,1.0,200,48,30
DP-0028,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,40.0,17.2,25.7,2.9,13.1,400,1,1.0,CO2,269.8,0.1926,0.0636,0.129,2.9,58.9,3.9,1.93,22.2,0.795,0.283,7.8,Base-treatment,0.0,0.19,112.5,89.0,20.4,57.0,1.75,5.0,2.0,50,6,30
DP-0029,Ma_2023,10.1016/j.seppur.2022.122521,Sawdust,Woody,36.7,27.9,6.2,7.6,1.8,650,15,4.0,N2,404.5,0.2378,0.1004,0.1374,2.4,78.0,2.1,0.39,17.7,0.323,0.17,10.0,None,0.0,0.0,132.3,99.9,23.3,60.6,3.62,4.0,10.0,100,12,35
DP-0030,Long_2024,10.1016/j.chemosphere.2024.141584,Palm kernel shell,Woody,33.5,28.4,8.3,7.8,12.1,300,10,1.0,Ar,250.3,0.209,0.0843,0.1247,3.3,48.0,6.2,0.94,32.8,1.55,0.512,7.4,Fe-loading,1.6,0.0,121.6,93.0,54.1,70.8,1.72,5.5,2.0,100,4,30
DP-0031,Sun_2022,10.1016/j.scitotenv.2022.154668,Coffee grounds,Agricultural,27.1,8.0,18.1,4.4,21.0,450,5,0.5,N2,243.9,0.2241,0.0338,0.1903,3.7,56.3,2.9,1.09,18.7,0.618,0.249,8.6,None,0.0,0.0,102.5,80.3,18.6,38.1,1.65,8.0,4.0,50,12,50
DP-0032,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Pine wood,Woody,26.8,26.7,23.5,9.5,9.4,400,5,1.0,N2,369.0,0.2154,0.036,0.1794,2.3,60.1,4.4,0.59,25.5,0.879,0.318,8.5,MnO2,0.0,0.53,132.4,97.4,16.2,82.3,2.7,4.0,5.0,50,2,40
DP-0033,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Poultry litter,Waste,37.3,22.7,23.1,8.7,3.2,300,10,0.5,N2,143.2,0.1488,0.0478,0.101,4.2,48.7,5.8,5.54,36.8,1.429,0.567,7.6,None,0.0,0.0,140.4,103.0,46.3,70.9,2.28,5.5,1.0,200,2,30
DP-0034,Ma_2023,10.1016/j.seppur.2022.122521,Coffee grounds,Agricultural,37.6,27.9,17.1,9.9,15.8,450,5,0.5,N2,293.6,0.1671,0.0439,0.1232,2.3,56.2,4.0,0.84,23.2,0.854,0.31,8.2,None,0.0,0.0,96.2,66.9,23.5,66.4,2.19,5.0,4.0,200,4,35
DP-0035,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Peanut shell,Agricultural,50.0,13.3,17.0,9.1,15.8,600,10,1.0,Ar,363.8,0.1885,0.0625,0.126,2.1,48.8,3.8,2.69,28.9,0.934,0.444,10.0,MgO,0.0,0.39,148.7,114.0,34.1,93.1,2.21,6.0,1.0,500,6,40
DP-0036,Palansooriya_2022,10.1021/acs.est.1c08302,Wheat straw,Agricultural,38.7,22.4,30.6,7.0,10.5,400,20,2.0,N2,244.8,0.1862,0.0629,0.1233,3.0,56.6,4.9,2.22,25.8,1.039,0.342,7.8,Fe-loading,10.4,0.0,183.9,109.5,43.5,82.0,1.59,6.5,1.0,100,4,25
DP-0037,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Pine wood,Woody,28.6,35.3,32.9,10.2,12.7,400,3,2.0,N2,288.5,0.1501,0.0381,0.112,2.1,52.5,4.8,0.78,29.2,1.097,0.417,7.5,MgO,0.0,0.48,134.2,109.7,38.9,65.9,1.53,8.0,1.0,200,12,30
DP-0038,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Palm kernel shell,Woody,41.9,28.8,16.8,11.3,8.6,650,10,2.0,N2,578.2,0.328,0.0919,0.2361,2.3,65.5,2.4,0.96,22.5,0.44,0.258,9.1,None,0.0,0.0,126.4,82.6,29.3,73.5,3.61,6.0,2.0,100,4,50
DP-0039,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Pine wood,Woody,36.2,18.7,18.3,3.8,10.4,400,30,1.5,CO2,225.2,0.2041,0.0776,0.1265,3.6,57.5,7.2,1.72,23.2,1.503,0.303,10.0,Acid-treatment,0.0,1.25,113.0,107.5,33.6,49.4,1.38,6.0,2.0,200,4,35
DP-0040,Shen_2024,10.1016/j.jhazmat.2024.133442,Miscanthus,Agricultural,32.5,19.3,21.8,11.5,10.7,500,10,1.5,N2,288.1,0.1832,0.0808,0.1024,2.5,50.8,4.6,0.56,33.3,1.087,0.492,9.4,MgO,0.0,0.96,118.1,110.8,27.0,86.7,1.74,6.0,1.0,100,12,25
DP-0041,Shen_2024,10.1016/j.jhazmat.2024.133442,Sugarcane bagasse,Agricultural,21.6,32.4,35.5,8.5,5.7,650,10,2.0,N2,486.8,0.2563,0.0871,0.1692,2.1,68.0,4.3,2.32,19.7,0.759,0.217,9.0,None,0.0,0.0,64.2,90.3,35.0,62.1,2.36,5.5,2.0,20,2,25
DP-0042,Palansooriya_2022,10.1021/acs.est.1c08302,Wheat straw,Agricultural,40.8,19.4,31.7,7.5,10.7,650,20,2.0,N2,351.4,0.2546,0.1363,0.1183,2.9,66.1,3.8,3.1,16.3,0.69,0.185,9.9,N-doping,0.0,0.3,74.8,93.3,24.9,57.3,4.16,7.0,5.0,50,4,30
DP-0043,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Miscanthus,Agricultural,34.4,29.3,19.1,10.8,12.9,450,10,2.0,N2,209.7,0.1811,0.0596,0.1215,3.5,42.3,2.6,4.65,37.6,0.738,0.667,8.2,Base-treatment,0.0,1.54,130.6,160.5,42.3,57.6,2.7,6.0,2.0,50,12,30
DP-0044,Long_2024,10.1016/j.chemosphere.2024.141584,Wheat straw,Agricultural,35.5,26.7,20.3,9.7,7.8,450,5,1.0,CO2,228.9,0.1071,0.0357,0.0714,1.9,57.6,3.6,2.61,28.4,0.75,0.37,7.4,N-doping,0.0,0.44,106.5,120.1,34.6,64.4,1.6,5.0,10.0,50,24,30
DP-0045,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Coconut shell,Woody,40.5,39.8,33.9,9.3,2.7,450,20,2.0,N2,390.4,0.2195,0.0811,0.1384,2.2,48.9,4.7,2.52,41.2,1.153,0.632,8.7,Acid-treatment,0.0,0.39,167.1,137.9,46.8,118.3,1.6,5.0,2.0,20,4,30
DP-0046,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Bamboo,Woody,37.1,40.0,14.8,12.9,16.4,600,30,1.0,N2,339.4,0.2368,0.0917,0.1451,2.8,71.8,2.4,0.82,8.6,0.401,0.09,8.6,None,0.0,0.0,68.3,61.3,1.4,42.8,2.98,6.0,2.0,50,12,50
DP-0047,Palansooriya_2022,10.1021/acs.est.1c08302,Sugarcane bagasse,Agricultural,37.9,24.8,29.8,2.6,14.6,400,10,1.5,CO2,280.9,0.1898,0.0503,0.1395,2.7,55.3,4.1,2.35,23.6,0.89,0.32,7.4,N-doping,0.0,1.74,105.4,85.7,52.9,52.6,1.96,5.5,2.0,50,4,30
DP-0048,Yuan_2021,10.1021/acs.est.1c01849,Bamboo,Woody,59.6,16.1,29.5,8.1,9.3,650,5,4.0,N2,397.2,0.2354,0.1622,0.0732,2.4,71.2,3.2,1.69,14.6,0.539,0.154,8.9,Acid-treatment,0.0,0.43,108.9,58.9,41.3,50.8,3.43,7.0,1.0,200,48,25
DP-0049,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Eucalyptus,Woody,40.9,23.2,26.6,11.0,7.7,500,5,0.5,N2,254.0,0.1843,0.0794,0.1049,2.9,51.7,3.7,2.1,34.8,0.859,0.505,8.5,Acid-treatment,0.0,1.17,126.4,101.3,35.1,94.3,2.23,6.5,1.0,50,4,20
DP-0050,Yuan_2021,10.1021/acs.est.1c01849,Wheat straw,Agricultural,47.4,34.6,10.5,9.9,4.3,400,10,3.0,N2,211.1,0.1426,0.0494,0.0932,2.7,61.0,5.0,0.29,29.4,0.984,0.361,6.8,MgO,0.0,0.57,109.3,89.2,23.7,67.3,2.14,6.5,1.0,100,4,35
DP-0051,Long_2024,10.1016/j.chemosphere.2024.141584,Wheat straw,Agricultural,24.1,18.7,21.9,14.7,4.6,350,20,1.0,N2,193.1,0.1598,0.0652,0.0946,3.3,58.0,5.4,1.24,30.8,1.117,0.398,8.0,None,0.0,0.0,119.8,95.0,32.3,65.6,1.74,7.0,5.0,50,6,25
DP-0052,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sawdust,Woody,38.3,18.7,26.1,6.0,18.1,300,3,2.0,N2,192.7,0.1059,0.027,0.0789,2.2,42.7,5.9,3.04,30.3,1.658,0.532,6.9,N-doping,0.0,1.55,103.3,107.9,24.5,45.7,2.57,5.0,1.0,100,24,30
DP-0053,Sun_2022,10.1016/j.scitotenv.2022.154668,Pine wood,Woody,34.9,28.8,21.3,4.8,7.8,700,10,2.0,N2,376.7,0.2135,0.0935,0.12,2.3,67.7,0.9,2.67,20.9,0.16,0.232,9.3,None,0.0,0.0,92.1,86.8,50.8,44.8,3.73,7.0,1.0,50,12,25
DP-0054,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Walnut shell,Woody,25.1,25.6,20.7,6.9,3.9,500,15,1.0,N2,457.7,0.243,0.0614,0.1816,2.1,57.3,5.2,0.95,32.6,1.089,0.427,9.0,Fe-loading,1.9,0.0,172.8,137.5,46.6,69.3,2.1,6.0,5.0,100,24,25
DP-0055,Yuan_2021,10.1021/acs.est.1c01849,Bamboo,Woody,32.2,28.1,37.0,9.2,2.0,450,15,2.0,N2,298.6,0.1758,0.0769,0.0989,2.4,59.1,3.2,0.62,35.1,0.65,0.445,7.8,None,0.0,0.0,117.1,136.7,38.6,77.8,2.37,6.0,2.0,100,1,30
DP-0056,Shen_2024,10.1016/j.jhazmat.2024.133442,Wheat straw,Agricultural,23.6,12.4,22.3,11.2,5.3,400,15,0.5,N2,261.4,0.2289,0.0359,0.193,3.5,62.4,5.6,0.5,26.2,1.077,0.315,8.3,None,0.0,0.0,95.4,93.0,44.2,51.4,1.4,7.0,1.0,50,2,35
DP-0057,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Banana peel,Agricultural,27.8,37.0,33.0,9.7,6.9,650,5,2.0,N2,349.3,0.21,0.0876,0.1224,2.4,57.5,2.5,2.32,30.8,0.522,0.402,7.9,None,0.0,0.0,126.8,96.5,23.1,76.1,2.57,6.0,2.0,20,2,30
DP-0058,Palansooriya_2022,10.1021/acs.est.1c08302,Miscanthus,Agricultural,35.3,17.0,21.5,10.4,3.2,600,30,1.5,N2,319.4,0.1953,0.0641,0.1312,2.4,66.3,4.1,5.6,20.8,0.742,0.235,8.0,None,0.0,0.0,80.6,80.7,26.5,60.3,4.3,4.0,5.0,50,24,35
DP-0059,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Pine wood,Woody,29.6,28.3,10.6,4.8,5.0,350,10,2.0,Ar,297.5,0.184,0.0575,0.1265,2.5,42.4,5.2,3.67,43.7,1.472,0.773,6.5,None,0.0,0.0,160.7,110.7,48.3,72.7,2.66,4.0,5.0,50,12,25
DP-0060,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Rice husk,Agricultural,38.7,23.8,21.9,12.4,12.2,500,15,2.0,N2,288.5,0.205,0.0407,0.1643,2.8,52.5,5.3,1.76,28.2,1.211,0.403,10.0,Acid-treatment,0.0,0.64,156.6,119.3,28.1,58.8,1.02,6.0,0.5,50,4,25
DP-0061,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Corn stover,Agricultural,41.6,33.6,32.7,9.6,11.8,500,5,2.0,N2,297.0,0.2235,0.0943,0.1292,3.0,54.9,3.7,1.02,28.6,0.809,0.391,7.7,Base-treatment,0.0,0.26,122.1,98.4,38.2,70.7,2.24,6.0,10.0,100,12,25
DP-0062,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Corncob,Agricultural,29.4,26.5,16.6,8.8,5.4,800,5,1.0,CO2,425.1,0.2711,0.2017,0.0694,2.6,68.4,2.1,2.25,21.8,0.368,0.239,9.4,None,0.0,0.0,96.1,93.0,48.2,56.9,3.8,4.0,4.0,50,48,30
DP-0063,Palansooriya_2022,10.1021/acs.est.1c08302,Walnut shell,Woody,50.2,34.6,31.0,6.7,10.0,550,3,2.0,N2,436.3,0.2542,0.0858,0.1684,2.3,61.0,3.3,1.95,23.8,0.649,0.293,8.4,None,0.0,0.0,126.5,95.1,52.6,50.8,2.47,3.0,2.0,100,48,40
DP-0064,Ma_2023,10.1016/j.seppur.2022.122521,Oak wood,Woody,46.6,26.4,8.0,3.7,5.1,350,10,3.0,N2,150.0,0.1235,0.0195,0.104,3.3,48.9,5.5,2.51,38.0,1.35,0.583,8.4,None,0.0,0.0,170.9,145.9,45.6,59.5,1.43,4.0,0.5,50,1,30
DP-0065,Shen_2024,10.1016/j.jhazmat.2024.133442,Corn stover,Agricultural,21.9,29.5,31.5,5.4,10.1,550,20,1.0,N2,381.8,0.2629,0.0703,0.1926,2.8,55.9,3.7,3.04,27.3,0.794,0.366,8.1,ZnO,0.0,1.37,121.6,107.4,61.9,44.2,2.51,6.0,4.0,100,24,25
DP-0066,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Olive pomace,Woody,52.3,22.1,34.6,11.3,6.2,600,30,1.0,N2,341.9,0.2315,0.089,0.1425,2.7,61.9,4.0,1.16,26.7,0.775,0.324,9.7,Acid-treatment,0.0,0.96,122.9,133.7,30.2,37.4,1.77,6.0,2.0,50,24,20
DP-0067,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Rice husk,Agricultural,34.9,18.7,24.9,12.0,0.5,750,5,0.5,N2,463.5,0.2722,0.1371,0.1351,2.3,64.0,2.2,2.87,30.4,0.413,0.356,9.7,Acid-treatment,0.0,0.88,123.3,116.7,49.0,57.7,4.1,7.0,10.0,200,1,30
DP-0068,Ma_2023,10.1016/j.seppur.2022.122521,Palm kernel shell,Woody,34.2,28.0,31.7,9.8,4.6,550,10,3.0,N2,455.3,0.3117,0.1422,0.1695,2.7,54.9,4.7,3.42,32.4,1.027,0.443,9.0,None,0.0,0.0,153.5,110.0,42.3,93.6,3.87,6.0,5.0,500,24,30
DP-0069,Yuan_2021,10.1021/acs.est.1c01849,Bamboo,Woody,36.1,18.6,20.4,3.5,13.2,500,3,2.0,CO2,289.8,0.1526,0.0405,0.1121,2.1,60.3,5.8,0.51,20.2,1.154,0.251,8.2,None,0.0,0.0,99.7,77.7,21.4,70.0,3.38,5.0,4.0,10,24,40
DP-0070,Yuan_2021,10.1021/acs.est.1c01849,Rice husk,Agricultural,51.1,33.8,16.9,7.4,0.5,600,10,1.5,N2,326.8,0.2126,0.1263,0.0863,2.6,63.7,3.3,0.6,31.9,0.622,0.376,9.1,None,0.0,0.0,121.2,102.2,41.5,73.0,2.32,5.0,0.5,100,6,25
DP-0071,Long_2024,10.1016/j.chemosphere.2024.141584,Hickory wood,Woody,24.0,13.8,5.0,4.3,8.1,350,10,1.0,N2,223.8,0.1614,0.05,0.1114,2.9,53.1,4.6,0.84,33.4,1.04,0.472,7.3,None,0.0,0.0,140.3,89.5,43.3,93.7,1.56,5.0,5.0,50,4,30
DP-0072,Yuan_2021,10.1021/acs.est.1c01849,Wheat straw,Agricultural,32.8,28.0,28.4,10.6,2.8,650,10,2.0,N2,337.2,0.2323,0.1634,0.0689,2.8,68.8,3.2,0.66,24.5,0.558,0.267,8.0,None,0.0,0.0,129.9,80.7,38.2,57.1,3.88,3.0,10.0,200,6,20
DP-0073,Shen_2024,10.1016/j.jhazmat.2024.133442,Poultry litter,Waste,20.3,32.8,13.8,6.0,5.0,500,10,2.0,CO2,375.3,0.236,0.094,0.142,2.5,59.2,4.3,3.84,27.7,0.872,0.351,9.4,None,0.0,0.0,119.2,111.3,7.9,77.5,3.2,3.0,2.0,100,12,30
DP-0074,Sun_2022,10.1016/j.scitotenv.2022.154668,Sawdust,Woody,48.8,27.4,32.9,5.4,15.2,800,5,4.0,N2,495.0,0.3338,0.095,0.2388,2.7,62.4,2.3,1.9,18.2,0.442,0.219,10.6,Acid-treatment,0.0,1.47,119.8,103.0,17.2,85.3,3.78,6.0,4.0,10,2,40
DP-0075,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,52.6,24.0,20.4,8.2,7.2,450,5,1.0,CO2,240.9,0.1658,0.0699,0.0959,2.8,59.5,4.1,0.33,28.9,0.827,0.364,8.7,None,0.0,0.0,93.8,72.3,46.7,55.8,1.9,8.0,2.0,50,12,30
DP-0076,Shen_2024,10.1016/j.jhazmat.2024.133442,Sawdust,Woody,15.0,36.6,15.1,4.9,10.6,350,20,2.0,N2,129.1,0.1312,0.0304,0.1008,4.1,55.6,4.4,1.16,28.2,0.95,0.38,8.0,None,0.0,0.0,95.2,102.2,32.0,48.9,2.55,5.5,5.0,10,48,35
